gene_symbol,sample,label,region,n_positions,total_raw_depth,mean_raw_depth,max_raw_depth,total_rpm_depth,mean_rpm_depth,max_rpm_depth,n_covered_positions,pct_covered,note
Pgrmc1,CLIP_35L33G,CLIP (35L33G),chrX:35860859-35870732,9874,620040.0,62.795219769090544,13457.0,16945.71636920016,1.7161957027749808,367.7803128513105,1865,18.887988657079198,0-filled coverage; includes intron-spanning region
Pgrmc1,RPF_siLuc,RPF siLuc,chrX:35860859-35870732,9874,39140.0,3.963945716021876,225.0,954.4630879324358,0.09666427870492564,5.486821532570212,735,7.443791776382419,0-filled coverage; includes intron-spanning region
Pgrmc1,RPF_siLin28a,RPF siLin28a,chrX:35860859-35870732,9874,37189.0,3.766356086692323,187.0,1274.5420632981545,0.1290806221691467,6.408867295080666,719,7.281750050638039,0-filled coverage; includes intron-spanning region
Pgrmc1,RNA_siLuc,RNA-seq siLuc,chrX:35860859-35870732,9874,44208.0,4.477212882317197,95.0,1714.4337028626715,0.1736311224288709,3.684201994479592,2224,22.523799878468704,0-filled coverage; includes intron-spanning region
Pgrmc1,RNA_siLin28a,RNA-seq siLin28a,chrX:35860859-35870732,9874,48123.0,4.873708729997975,138.0,1460.986620601299,0.1479629958073019,4.189600682479879,2412,24.427790155965162,0-filled coverage; includes intron-spanning region
Ktn1,CLIP_35L33G,CLIP (35L33G),chr14:47884905-47978351,93447,447685.0,4.7907905015677335,2536.0,12235.247778764877,0.13093248342659344,69.30897476338883,6764,7.2383276081629155,0-filled coverage; includes intron-spanning region
Ktn1,RPF_siLuc,RPF siLuc,chr14:47884905-47978351,93447,30322.0,0.3244833970057894,86.0,739.4284556026397,0.007912811065123971,2.0971851191157254,4494,4.809143150662942,0-filled coverage; includes intron-spanning region
Ktn1,RPF_siLin28a,RPF siLin28a,chr14:47884905-47978351,93447,26125.0,0.27957023767483175,71.0,895.3564603421521,0.009581436111829723,2.4333132510734083,4290,4.590837587081447,0-filled coverage; includes intron-spanning region
Ktn1,RNA_siLuc,RNA-seq siLuc,chr14:47884905-47978351,93447,108855.0,1.1648849080227295,77.0,4221.51376956922,0.04517548738396332,2.9861426692097743,11219,12.005735871670572,0-filled coverage; includes intron-spanning region
Ktn1,RNA_siLin28a,RNA-seq siLin28a,chr14:47884905-47978351,93447,106874.0,1.1436857255984676,90.0,3244.6332126040193,0.03472164127905678,2.73234827118253,14060,15.0459618821364,0-filled coverage; includes intron-spanning region
Pvrl3,CLIP_35L33G,CLIP (35L33G),chr16:46207069-46319888,112820,195214.0,1.7303137741535188,1839.0,5335.20591461364,0.047289540104712285,50.25993871840381,6807,6.033504697748626,0-filled coverage; includes intron-spanning region
Pvrl3,RPF_siLuc,RPF siLuc,chr16:46207069-46319888,112820,13205.0,0.11704485020386457,27.0,322.0154592781762,0.0028542409083334177,0.6584185839084253,1976,1.7514625066477576,0-filled coverage; includes intron-spanning region
Pvrl3,RPF_siLin28a,RPF siLin28a,chr16:46207069-46319888,112820,15125.0,0.1340631093777699,41.0,518.3642665138775,0.004594613246887764,1.4051527224508413,2004,1.7762808012763693,0-filled coverage; includes intron-spanning region
Pvrl3,RNA_siLuc,RNA-seq siLuc,chr16:46207069-46319888,112820,32437.0,0.28751107959581634,33.0,1257.941685209837,0.011149988346125128,1.279775429661332,6935,6.146959758907995,0-filled coverage; includes intron-spanning region
Pvrl3,RNA_siLin28a,RNA-seq siLin28a,chr16:46207069-46319888,112820,30138.0,0.2671334869703953,32.0,914.9723577433233,0.008110019125539119,0.9715016075315663,6656,5.899663180287183,0-filled coverage; includes intron-spanning region
Unc45a,CLIP_35L33G,CLIP (35L33G),chr7:79974040-79998741,24702,13262.0,0.5368796048902923,53.0,362.45095556469346,0.01467293966337517,1.448491980465145,1945,7.873856367905432,0-filled coverage; includes intron-spanning region
Unc45a,RPF_siLuc,RPF siLuc,chr7:79974040-79998741,24702,9722.0,0.3935713707392114,21.0,237.07946195398932,0.009597581651444795,0.5121033430398864,3086,12.492915553396486,0-filled coverage; includes intron-spanning region
Unc45a,RPF_siLin28a,RPF siLin28a,chr7:79974040-79998741,24702,2920.0,0.11820905189863169,9.0,100.0742914525965,0.0040512627096023195,0.30844815858677005,1627,6.58651121366691,0-filled coverage; includes intron-spanning region
Unc45a,RNA_siLuc,RNA-seq siLuc,chr7:79974040-79998741,24702,34199.0,1.3844627965346936,54.0,1326.2739369390267,0.05369095364500958,2.094177975809452,4030,16.314468464091977,0-filled coverage; includes intron-spanning region
Unc45a,RNA_siLin28a,RNA-seq siLin28a,chr7:79974040-79998741,24702,43424.0,1.7579143389199254,47.0,1318.3276814203355,0.05336926894260932,1.426892986061988,4828,19.544976115294308,0-filled coverage; includes intron-spanning region
