chrom	position	raw_depth	sample	gene_symbol	rpm_depth
chrX	35860859	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860860	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860861	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860862	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860863	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860864	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860865	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860866	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860867	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860868	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860869	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860870	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860871	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860872	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860873	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860874	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860875	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860876	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860877	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860878	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860879	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860880	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860881	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860882	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860883	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860884	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860885	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860886	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860887	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860888	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860889	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860890	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860891	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860892	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860893	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860894	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860895	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860896	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860897	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860898	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860899	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860900	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860901	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860902	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860903	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860904	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860905	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860906	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860907	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860908	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860909	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860910	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860911	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860912	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860913	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860914	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860915	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860916	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860917	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860918	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860919	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860920	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860921	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860922	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860923	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860924	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860925	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860926	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860927	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860928	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860929	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860930	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860931	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860932	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860933	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860934	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860935	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860936	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860937	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860938	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860939	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860940	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860941	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860942	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860943	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860944	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860945	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860946	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860947	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860948	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860949	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860950	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860951	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860952	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860953	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860954	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860955	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860956	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860957	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860958	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860959	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860960	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860961	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860962	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860963	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860964	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860965	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860966	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860967	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860968	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860969	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860970	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860971	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860972	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860973	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860974	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860975	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860976	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860977	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860978	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860979	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860980	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860981	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860982	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860983	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860984	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860985	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860986	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860987	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860988	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860989	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860990	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860991	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860992	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860993	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860994	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860995	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860996	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860997	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860998	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35860999	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861000	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861001	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861002	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861003	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861004	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861005	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861006	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861007	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861008	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861009	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861010	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861011	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861012	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861013	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861014	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861015	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861016	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861017	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861018	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861019	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861020	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861021	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861022	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861023	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861024	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861025	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861026	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861027	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861028	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861029	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861030	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861031	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861032	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861033	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861034	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861035	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861036	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861037	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861038	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861039	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861040	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861041	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861042	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861043	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861044	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861045	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861046	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861047	0.0	RNA_siLuc	Pgrmc1	0.0
chrX	35861048	0.0	RNA_siLuc	Pgrmc1	0.0
